nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
000 Info,0.00,0.00,0.00,78.00,0.00,0.00,0.00,78.00
001 Rouge,1.00,100.00,73.00,9.00,0.00,90.00,67.00,5.00
002 Orange,0.00,36.00,84.00,0.00,0.00,34.00,84.00,0.00
003 Jaune,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00
004 Vert bouteille,100.00,0.00,60.00,52.00,100.00,0.00,60.00,52.00
005 Marine,95.00,49.00,0.00,53.00,95.00,49.00,0.00,53.00
006 Bleu royal,99.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00
007 Abricot,8.00,25.00,40.00,0.00,8.00,25.00,40.00,0.00
008 Turquoise,48.00,0.20,9.00,1.00,48.00,0.80,5.50,1.00
009 Jade,68.50,0.00,40.00,0.00,68.50,0.00,40.00,0.00
010 Grenoble,37.00,0.00,26.00,0.00,33.00,0.00,23.80,0.00
011 Lime,46.50,0.00,69.00,0.00,46.50,0.00,63.00,0.00
012 Rose pale,0.00,39.00,0.00,0.00,0.00,39.00,0.00,0.00
013 Fushia,16.00,68.00,0.00,0.00,10.00,68.00,0.00,0.00
014 Bleu canada,55.00,5.00,0.00,0.00,53.00,2.00,0.00,0.00
015 Orchidee,52.00,25.00,0.00,0.00,51.00,24.00,0.00,0.00
016 Violet,75.00,51.00,0.00,0.00,75.00,51.00,0.00,0.00
017 Charbon,41.00,0.00,4.00,55.00,20.00,0.00,9.00,51.00
017 Charcoal,41.00,0.00,4.00,55.00,26.00,0.00,9.00,51.00
018 Gris chlore max,33.00,2.00,8.00,47.00,20.00,5.00,8.00,43.00
020 Noir,44.00,0.00,10.00,92.00,0.00,0.00,0.00,94.00
020 Noir special,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00
020 Noir triangle,100.00,0.00,0.00,92.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
021 Nature green,63.00,0.00,66.00,56.00,55.00,0.00,66.00,51.00
022 Brick,7.00,83.00,42.00,20.00,0.00,83.00,50.00,20.00
024 Dijon,5.00,9.00,32.00,0.30,5.00,9.00,32.00,0.30
025 Indigo,60.00,19.00,0.00,43.00,55.00,24.00,0.00,43.00
028 Bleu demi ton,99.00,28.00,0.00,0.00,99.00,28.00,0.00,0.00
030 Kaki,13.00,0.00,75.00,60.00,0.00,0.00,82.00,58.00
031 Bourgogne,7.00,86.50,70.00,50.00,0.00,86.50,72.00,45.00
032 Brun,10.00,40.00,77.00,42.00,0.00,47.00,77.00,42.00
033 Bleu ry,86.00,25.00,0.00,0.00,86.00,25.00,0.00,0.00
033 LG Flamme,3.00,70.00,69.00,0.00,0.00,90.00,86.00,0.00
034 Brandy,35.00,60.00,0.00,0.00,29.00,58.00,0.00,0.00
034 LG Bleu eclipse,94.00,62.00,0.00,55.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
035 Chartreuse,45.00,0.00,79.00,36.00,45.00,0.00,79.00,36.00
036 Lilas,44.50,37.00,1.00,0.00,44.50,37.00,1.00,0.00
037 Aqua,52.00,3.00,20.00,0.00,48.00,3.00,14.00,0.00
038 Prune,71.00,69.00,0.00,0.00,71.00,69.00,0.00,0.00
039 Sarcelle,100.00,22.00,43.00,0.00,100.00,22.50,40.00,0.00
040 Ultra violet,95.00,62.00,0.00,0.00,95.00,57.00,0.00,0.00
041 Or,5.00,21.00,77.00,9.00,0.00,21.00,77.00,8.00
042 Citron,0.00,0.00,56.00,0.00,0.00,0.00,56.00,0.00
043 Amethyste,58.00,53.00,8.00,32.00,47.50,53.00,2.00,30.00
045 Magenta process,23.00,56.00,0.00,1.00,14.00,52.00,0.00,1.00
046 LG Bleu marocain,97.00,0.00,28.00,25.00,86.00,0.00,23.00,25.00
047 Gris pale sherlock,8.00,0.00,5.00,26.00,2.00,1.20,2.70,21.00
049 LG Noix de coco grille,30.00,37.00,59.00,0.00,30.00,35.00,54.00,0.00
050 Banane,0.00,3.00,22.00,0.00,0.00,2.10,16.50,0.00
051 Vert perle,27.00,0.00,14.00,5.00,19.00,0.00,6.00,4.00
052 Eau douce,32.00,0.00,10.00,0.00,30.50,0.00,5.80,0.00
053 Havane,11.00,20.00,43.00,38.00,0.00,24.00,43.00,35.00
054 Penombre,60.00,24.00,0.00,44.00,60.00,32.00,0.00,44.00
055 Black navy,95.00,44.00,0.00,66.00,95.00,44.00,0.00,66.00
057 Jaune orange,0.00,17.00,85.00,0.00,0.00,14.00,85.00,0.00
058 Wine,9.00,88.00,46.00,71.00,0.00,79.00,46.00,59.00
059 Bordeaux,88.00,100.00,0.00,35.00,72.00,100.00,0.00,41.00
060 Jaune tdf,0.00,10.00,84.00,0.00,0.00,8.00,83.00,0.00
061 Caramel,5.00,27.00,75.00,0.00,5.00,27.00,75.00,0.00
061 LG Soufre vif,4.00,0.00,81.00,0.00,2.00,0.00,77.00,0.00
063 Olive,72.00,50.00,75.00,0.60,72.00,50.00,75.00,0.60
064 Rouge chili,3.00,68.00,33.00,23.00,0.00,90.00,54.00,26.00
065 Pacifique,76.00,0.00,14.00,1.00,73.00,0.00,14.00,0.00
066 Orange fonce,0.00,55.00,84.00,0.00,0.00,55.00,84.00,0.00
066 Orange foncee,0.00,55.00,84.00,0.00,0.00,55.00,84.00,0.00
067 Argent,4.00,0.00,3.00,9.00,12.00,5.00,6.00,0.00
068 Jaune pale,0.00,0.00,35.00,0.00,0.00,0.00,26.00,0.00
069 LG Citron tonique,0.00,2.00,40.00,0.00,0.00,1.50,37.00,0.00
069 Rouge usa,17.00,90.00,7.00,4.00,10.00,90.00,7.00,3.00
070 Neo bleu,56.00,19.00,0.00,0.00,54.00,15.00,0.00,0.00
071 Mais,0.00,10.00,75.00,0.00,0.00,8.00,75.00,0.00
072 Mauve,45.50,63.00,0.00,0.00,45.50,63.00,0.00,0.00
073 Vert mousse,13.00,0.00,34.00,28.00,4.00,0.00,33.00,28.00
074 Bleu etoile,87.00,34.00,30.00,0.00,87.00,34.00,30.00,0.00
075 Vert foret,82.00,0.00,72.00,0.00,82.00,0.00,72.00,0.00
076 Ambre,0.00,22.00,91.00,25.00,0.00,25.50,90.00,20.00
077 LG Carmin,4.00,100.00,33.00,20.00,1.00,100.00,47.00,17.00
077 Melon,18.00,0.00,45.00,0.00,12.00,0.00,45.00,0.00
078 LG Orange vibrant,0.00,28.00,87.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
078 Olive pale,58.00,34.00,52.00,0.00,52.00,34.00,52.00,0.00
079 Best before,2.00,3.00,12.00,2.00,2.00,3.00,8.00,1.00
080 Bleu cadillac,37.00,7.00,0.00,15.00,37.00,7.00,0.00,12.00
081 Orangeade,0.00,27.00,48.00,2.00,0.00,27.00,48.00,2.00
082 Off road,20.00,53.00,75.00,76.00,0.00,58.00,75.00,67.00
084 Dry blood,9.00,81.00,46.00,45.00,0.00,81.00,46.00,40.00
085 Rouge pimpon,12.00,92.00,24.00,12.00,0.00,90.00,34.00,12.00
086 Vert pomme,36.00,0.00,75.00,0.00,36.00,0.00,75.00,0.00
087 LG Bleu cobalt,98.00,47.00,7.00,0.00,95.00,44.00,7.00,0.00
087 Petit pois,41.50,23.00,52.00,0.00,41.50,23.00,52.00,0.00
088 Pin,99.00,30.50,77.00,12.50,99.00,30.50,77.00,12.50
089 Azur,80.00,29.00,0.00,0.00,80.00,29.00,0.00,0.00
090 LG Asphalte,37.00,1.00,4.00,65.00,8.00,0.00,5.00,58.00
090 Pms 1375c,0.00,23.00,83.00,0.00,0.00,23.00,83.00,0.00
091 Tropique,81.00,0.00,20.00,1.00,74.00,0.00,20.00,0.00
092 LG Foret nocturne,77.00,58.00,100.00,19.00,80.00,58.00,100.00,18.00
092 Paon,77.00,2.00,32.00,0.00,73.00,1.80,32.00,0.00
093 Tangerine,1.00,34.00,83.00,0.00,1.00,34.00,83.00,0.00
095 Taco,0.00,48.00,63.00,3.00,0.00,48.00,63.00,3.00
096 Raisin,100.00,83.50,8.00,2.00,100.00,83.50,8.00,2.00
097 Chene,31.00,55.00,87.00,0.00,31.00,55.00,87.00,0.00
098 Cayenne,0.00,60.00,86.00,15.00,0.00,65.00,95.00,10.00
099 Bleu electrique,100.00,46.00,7.00,0.00,100.00,46.00,7.00,0.00
100 PMS 541 C,62.00,28.00,14.00,3.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
102 Atlantique,77.00,14.00,1.00,63.00,67.00,0.80,0.60,59.00
103 Glace,44.00,17.00,16.00,4.00,42.50,18.00,15.00,0.00
103 Ice,44.00,17.00,16.00,4.00,42.50,17.00,16.00,0.00
104 Rose flash,0.00,64.00,0.00,0.00,0.00,64.00,0.00,0.00
106 Ruby red,12.00,86.00,42.00,40.00,0.00,85.50,42.00,36.00
109 Sauge,13.00,3.00,23.00,28.00,0.00,3.00,22.00,26.00
110 LG Cerises des barbades,0.00,100.00,60.00,18.00,0.00,99.00,65.00,13.00
110 Ultra bleu,100.00,30.00,0.00,0.00,100.00,30.00,0.00,0.00
111 Rouge feu,0.00,90.00,79.00,0.00,0.00,90.00,79.00,0.00
112 Vert fonce,96.00,0.00,78.00,0.00,96.00,0.00,78.00,0.00
115 LG Bleu curacao,95.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00
115 Vert 150,33.00,6.00,78.00,3.00,33.00,6.00,78.00,0.00
117 Framboise,25.00,79.00,0.00,0.00,21.00,73.00,0.00,0.00
117 LG Bleu bijoux,70.00,0.00,15.00,0.00,70.00,0.00,13.00,0.00
118 Toffee,5.00,26.00,87.00,8.00,0.00,25.50,88.00,8.00
119 Neo lavande,48.00,28.00,1.00,4.00,48.00,27.00,1.00,4.00
120 Fusain,73.00,0.00,11.00,80.00,26.50,0.00,11.00,66.00
121 Jazz blue,34.00,0.00,2.00,19.00,34.00,0.00,0.60,16.20
122 Vert lycra,57.00,0.00,48.00,4.00,57.00,0.00,47.00,1.00
123 Onde,21.00,0.00,2.00,10.00,21.00,0.00,0.00,8.00
124 Vert cuivre,74.00,0.00,71.00,65.00,64.00,0.00,71.00,59.00
126 Wedgewood,47.00,6.00,2.00,44.00,40.00,0.00,2.00,42.00
128 Vert tendre,38.00,5.00,45.00,4.00,38.00,5.00,42.00,0.00
131 Rose optik,13.00,63.00,0.00,0.00,7.00,62.00,0.00,0.00
134 Baiser,23.00,88.00,0.00,0.00,16.00,85.00,0.00,0.00
135 Paprika,8.00,80.00,75.00,28.00,0.00,80.00,75.00,27.00
136 Vert tintin,16.00,8.00,41.00,0.00,16.00,8.00,41.00,0.00
137 Ciel d ete,23.00,3.50,0.00,0.00,23.00,3.50,0.00,0.00
138 Gris dauphin,37.00,13.00,0.00,35.00,31.00,14.00,0.00,32.00
140 Aqua di rosa,5.00,14.00,2.00,0.00,3.00,8.00,1.90,0.00
141 Jeans,77.00,33.00,0.00,28.00,77.00,33.00,0.00,28.00
144 Bleu poudre,38.00,2.00,4.00,1.00,41.00,1.80,3.00,0.60
145 Neo royal,93.00,20.50,0.00,3.00,93.00,20.50,0.00,3.00
146 Pms 13 0540tc,10.00,0.00,53.00,0.00,6.00,0.80,51.00,0.00
147 Bleu lg,85.00,1.00,0.00,0.00,85.00,1.00,0.00,0.00
148 Gris ss,62.00,0.00,2.00,72.00,29.00,0.00,1.60,55.00
150 Cristal,4.00,0.00,3.00,9.00,0.00,0.50,1.20,5.00
152 Corail,3.00,47.00,35.00,0.00,3.00,47.00,35.00,0.00
154 Gris carbone,69.00,0.00,2.00,74.00,43.00,0.00,0.00,62.00
161 Real red,9.00,87.00,50.00,27.00,0.00,86.50,54.00,26.00
167 Gris pale,3.50,0.00,3.50,8.00,8.00,4.00,5.00,1.00
169 Creme,2.00,1.00,10.00,2.00,1.20,1.70,6.50,1.00
175 Rouge matador,5.00,90.00,70.00,17.00,0.00,90.00,72.00,14.50
177 Curry,6.00,23.00,71.00,0.00,6.00,23.00,71.00,0.00
178 Bleu pascal,24.00,8.00,1.00,3.00,24.00,8.00,1.00,3.00
181 Steel,22.00,7.00,5.00,42.00,28.00,15.00,14.00,39.00
182 Chocolat,27.00,59.00,85.00,66.00,0.00,61.00,83.00,62.00
185 Sun tan,21.00,26.00,40.00,3.00,18.00,26.00,40.00,3.00
187 Bleu eclipse,63.00,27.00,0.00,42.00,63.00,27.00,0.00,42.00
188 Glacier,17.00,1.00,2.00,21.00,15.00,1.20,0.00,18.00
189 Linx,6.00,5.00,10.00,4.00,6.00,5.00,7.00,0.00
194 Lilas 300,29.00,23.00,0.00,0.00,26.00,20.00,0.00,0.00
206 LG Ile de bali,17.50,0.00,14.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
207 LG Bleu demi lune,36.00,7.00,2.00,19.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
208 LG Fleur de lotus,0.00,13.00,7.00,4.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
209 LG Rose bohemien,24.00,52.00,18.00,22.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
227 Bleu crepuscule,96.00,57.00,28.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
234 Vert gecko,20.00,0.00,46.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
237 LG Mojito,27.00,0.00,14.00,0.00,26.00,0.00,10.00,0.00
242 LG Menthe,40.00,0.00,26.00,0.00,40.00,0.00,23.00,0.00
243 LG Cricket,87.00,0.00,48.00,0.00,82.00,0.00,44.00,0.00
244 LG Poisson bleu,29.00,0.00,6.00,0.00,30.00,0.00,3.50,0.00
245 LG Shiraz,72.00,100.00,30.00,2.00,58.00,81.00,30.00,38.00
246 LG Bleu ciel,38.00,0.00,6.00,0.00,36.00,0.00,3.50,0.00
247 LG Limonade,1.80,0.00,31.00,0.00,0.80,0.00,26.00,0.00
249 LG Saphire,84.00,0.00,21.00,5.00,77.00,0.00,22.00,5.00
250 LG Bleu minuit,89.00,20.00,0.00,70.00,70.00,2.50,0.00,59.00
255 LG Coucher de soleil,0.00,46.00,89.00,3.00,0.00,36.00,87.00,0.00
256 LG Gris fer,27.00,0.50,2.00,61.00,26.00,0.50,2.00,51.00
263 LG Mousse dhiver,3.00,2.00,82.00,58.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
264 LG Chevrefeuille,35.00,17.00,100.00,0.00,36.00,17.00,100.00,0.00
281 LG Foret noire,79.00,49.00,90.00,0.00,74.00,46.00,85.00,0.00
282 LG Tangerine tango,0.00,60.00,90.00,0.00,0.00,57.00,87.00,0.00
288 LG Mauve magenta,43.00,87.00,0.00,15.00,46.00,90.00,0.00,22.00
292 LG Festival fushia,25.00,68.00,0.00,0.00,22.00,70.00,0.00,0.00
304 Pink lady,3.00,10.00,1.90,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
306 Bruine,0.00,0.00,0.90,11.00,0.10,0.20,1.20,5.00
308 LG Nuit sombre,97.00,57.00,0.00,60.00,80.00,42.00,0.00,65.00
309 LG Dune,10.00,13.00,26.00,25.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
310 LG Prune foncee,43.00,67.00,0.00,65.00,40.00,69.00,0.00,65.00
317 LG Ochre,9.00,23.00,80.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
348 LG Nuit dolive,67.00,54.00,80.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
372 LG Cedre vert,55.00,30.00,100.00,0.00,57.00,30.00,100.00,0.00
373 LG Brume bleue,30.00,14.00,1.00,0.00,31.00,10.00,1.00,0.00
374 LG Bleu baja,54.00,31.00,0.00,0.00,57.00,26.00,0.00,0.00
375 LG Etoile bleue,11.00,0.20,6.00,0.00,12.00,3.00,4.00,0.00
376 LG Mer des sargasses,63.00,27.00,0.00,42.00,65.00,30.00,0.00,42.00
396 Pivoine,18.00,58.00,0.00,0.00,12.00,50.00,0.00,0.00
480 Rose drummond,9.00,41.00,5.00,0.00,5.00,38.00,4.00,0.00
494 Dust gray,54.00,41.00,46.00,0.00,51.00,38.50,46.00,0.00
500 LG Ombre sombre,21.00,0.00,21.00,51.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
505 LG Mer urbaine,51.00,27.00,32.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
510 LG Ombre,17.00,3.00,20.00,28.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
517 LG Exuberance,0.50,41.00,94.00,2.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
521 LG Bleu mikonos,95.00,0.00,23.50,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
525 LG Baie de logan,54.00,50.00,8.00,28.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
528 LG Lueur verte,4.00,0.00,17.00,0.50,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
534 LG Cassonade,30.00,44.00,80.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
538 LG The Rooibos,3.00,59.00,89.00,19.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
542 LG Everglade,97.00,0.00,62.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
543 LG Cantaloup,0.00,23.00,32.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
545 LG Caraibes,67.00,0.00,21.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
548 LG Pina colada,0.00,0.00,32.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
553 LG Ultra orange,0.00,55.00,72.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
563 LG Rocher rouge,14.00,100.00,69.00,25.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
567 LG Rose sable,4.00,33.00,10.00,15.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
569 LG Bleu santorini,76.00,19.00,0.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
581 LG Rose pop,10.00,60.00,13.00,2.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
586 LG Bleu genie,75.00,0.00,7.00,0.10,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
587 LG Daiquiri,10.00,77.00,0.00,2.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
588 LG Punch tropical,0.00,40.00,35.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
602 Rose passion,8.00,85.00,1.00,8.00,0.00,85.00,0.80,7.00
608 Terre de sienne,24.00,56.00,79.00,0.00,21.00,56.50,79.00,0.00
615 LG Rhubarbe,15.00,98.00,33.00,35.00,0.00,90.00,57.00,33.00
616 Team red,4.00,90.00,44.00,7.00,0.00,90.00,44.00,7.00
618 Gris moyen,18.00,0.00,2.00,30.00,10.00,0.80,2.00,28.00
621 Aubergine,59.00,81.00,0.00,69.00,47.50,77.00,0.00,60.00
624 Barbapapa,1.00,15.00,0.00,0.00,0.80,10.00,1.30,0.00
625 Pink panter,3.00,26.50,3.00,0.00,3.00,26.50,3.00,0.00
625 Pink panther,3.00,26.50,3.00,0.00,3.00,26.50,3.00,0.00
626 Lite lime,6.00,0.00,37.00,0.00,3.00,0.00,40.00,0.00
632 Gris,11.00,0.00,5.00,22.00,14.00,4.00,5.50,16.00
635 Vert Armee,24.00,2.00,35.00,30.00,16.00,2.00,35.00,28.00
637 Mystic mauve,40.00,40.00,24.00,3.00,34.00,36.00,24.00,3.00
638 Terreau,65.00,53.00,79.00,0.00,65.00,53.00,79.00,0.00
639 Limbes,14.00,1.00,6.00,3.00,8.00,1.20,2.50,3.00
640 Bleu anodise,50.50,20.00,1.00,27.50,50.50,20.00,1.00,27.50
641 Gris igloo,55.00,31.00,36.00,16.00,46.50,31.00,35.00,15.50
644 Crepuscule,27.00,13.00,6.00,2.00,27.00,13.00,6.00,0.00
645 Parchemin,6.00,5.00,13.00,4.00,5.00,5.00,11.00,1.20
645 Parchemin ,6.00,5.00,13.00,4.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
646 Crepuscule fonce,48.50,28.00,0.00,22.00,48.50,28.00,0.00,22.00
649 Crepuscule pale ,17.00,3.00,2.00,0.00,12.00,3.00,1.20,0.00
651 Coquelicot,18.00,76.50,53.00,0.00,18.00,76.50,53.00,0.00
654 Sel d argent,8.00,0.00,2.00,19.00,3.00,1.00,1.00,15.00
660 Vert emeraude,59.00,0.00,72.00,0.00,59.00,0.00,72.00,0.00
663 Ochre,20.00,22.00,50.00,0.00,20.00,22.00,50.00,0.00
664 Romarin,47.00,35.00,54.00,0.00,47.00,35.00,54.00,0.00
666 Canyon,6.00,63.00,83.00,25.00,0.00,65.00,83.00,24.00
668 Rose glace,25.00,51.00,38.00,0.00,21.00,51.00,38.00,0.00
681 Atlantis,72.00,0.00,7.00,3.00,72.00,0.00,7.00,3.00
683 Hibiscus,17.00,82.00,28.00,0.00,17.00,82.00,28.00,0.00
687 Bois d ebene,20.00,40.00,64.00,65.00,0.00,39.00,54.00,53.00
697 Outremer,45.00,0.00,0.00,31.00,42.00,0.00,0.00,27.00
717 Jungle yellow,0.00,18.00,85.00,0.00,0.00,16.00,85.00,0.00
760 Ginger,0.00,91.00,54.00,10.00,0.00,88.00,51.00,4.00
764 Violette africaine,20.00,26.00,0.00,0.00,12.00,20.00,0.00,0.00
765 Wild lime,4.00,0.00,44.00,0.00,3.00,0.00,41.00,0.00
766 Cyan,69.00,0.00,11.00,0.00,68.00,0.00,8.00,0.00
783 Imperial purple,67.00,77.00,0.00,10.00,66.00,75.00,0.00,0.00
785 LG Tawny port,9.00,94.00,58.00,55.00,7.00,97.00,58.00,50.00
786 Pure purple,54.00,39.00,0.00,0.00,56.00,36.00,0.00,0.00
787 Flash blue,41.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00
789 Shadow gray,55.00,39.00,41.00,0.00,52.00,38.00,41.00,0.00
AZR,72.00,27.00,17.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
GOL,0.00,16.00,96.00,1.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
Jelly Bean 17-6030,64.00,0.00,66.00,0.00,65.00,0.00,62.00,0.00
PANTONE 021 C,0.00,42.50,90.00,0.00,0.00,42.50,90.00,0.00
PANTONE 032 C,0.00,55.00,44.00,0.00,0.00,55.00,44.00,0.00
PANTONE 072 C,76.00,48.00,0.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 072 U,68.00,37.00,0.00,0.00,68.00,37.00,0.00,0.00
PANTONE 100 C,0.00,0.00,46.00,0.00,0.00,0.00,40.00,0.00
PANTONE 101 C,0.00,0.00,71.00,0.00,0.00,0.00,71.00,0.00
PANTONE 102 C,0.00,0.00,86.00,0.00,0.00,0.00,86.00,0.00
PANTONE 103 C,0.00,3.00,85.00,14.00,0.00,3.00,89.00,10.00
PANTONE 104 C,0.00,3.00,89.00,21.00,0.00,2.00,89.00,15.00
PANTONE 105 C,0.00,3.00,90.00,33.00,0.00,4.00,90.00,31.00
PANTONE 106 C,0.00,1.00,70.00,0.00,0.00,1.00,70.00,0.00
